,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,3563,0,106,0,468,0
2,Albania,842,0,31,0,605,0
3,Algeria,5182,0,483,0,2323,0
4,American Samoa,0,0,0,0,0,0
5,Andorra,752,0,47,0,526,0
6,Angola,36,0,2,0,11,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,25,0,3,0,16,0
10,Argentina,5371,0,282,0,1601,0
11,Armenia,2884,0,42,0,1185,0
12,Aruba,0,0,0,0,0,0
13,Australia,0,0,0,0,0,0
14,Austria,15752,0,609,0,13698,0
15,Azerbaijan,2204,0,28,0,1551,0
16,Bahamas,92,0,11,0,26,0
17,Bahrain,4199,0,8,0,2000,0
18,Bangladesh,12425,0,199,0,1910,0
19,Barbados,82,0,7,0,53,0
20,Belarus,20168,0,116,0,5067,0
21,Belgium,51420,0,8415,0,12980,0
22,Belize,18,0,2,0,16,0
23,Benin,140,0,2,0,53,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,7,0,0,0,5,0
26,Bolivia,2081,0,102,0,219,0
27,Bosnia and Herzegovina,2027,0,90,0,954,0
28,Botswana,23,0,1,0,9,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,135773,0,9190,0,55350,0
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,141,0,1,0,131,0
34,Bulgaria,1829,0,84,0,384,0
35,Burkina Faso,736,0,48,0,562,0
36,Burundi,15,0,1,0,7,0
37,Cambodia,122,0,0,0,120,0
38,Cameroon,2267,0,108,0,1002,0
39,Canada,66200,0,4540,0,29260,0
40,Cape Verde,218,0,2,0,38,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,94,0,0,0,10,0
43,Chad,253,0,27,0,50,0
44,Chile,24581,0,285,0,11664,0
45,China,0,0,0,0,0,0
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,9456,0,407,0,2300,0
49,Comoros,8,0,1,0,0,0
50,Congo (Brazzaville),264,0,10,0,30,0
51,Congo (Kinshasa),863,0,36,0,103,0
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,765,0,6,0,445,0
54,Croatia,2125,0,86,0,1641,0
55,Cuba,1729,0,73,0,1031,0
56,Cyprus,889,0,15,0,400,0
57,Czech Republic,8031,0,270,0,4371,0
58,Côte d'Ivoire,1571,0,20,0,742,0
59,Denmark,10083,0,514,0,7711,0
60,Djibouti,1133,0,3,0,799,0
61,Dominica,16,0,0,0,14,0
62,Dominican Republic,9095,0,373,0,2064,0
63,Ecuador,30298,0,1654,0,3433,0
64,Egypt,7981,0,482,0,1887,0
65,El Salvador,695,0,15,0,252,0
66,Equatorial Guinea,439,0,4,0,13,0
