,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,3778,0,109,0,472,0
2,Albania,850,0,31,0,620,0
3,Algeria,5369,0,488,0,2467,0
4,American Samoa,0,0,0,0,0,0
5,Andorra,752,0,47,0,537,0
6,Angola,43,0,2,0,11,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,25,0,3,0,16,0
10,Argentina,5611,0,293,0,1659,0
11,Armenia,3029,0,43,0,1218,0
12,Aruba,0,0,0,0,0,0
13,Australia,0,0,0,0,0,0
14,Austria,15774,0,614,0,13836,0
15,Azerbaijan,2279,0,28,0,1576,0
16,Bahamas,92,0,11,0,31,0
17,Bahrain,4444,0,8,0,2028,0
18,Bangladesh,13134,0,206,0,2101,0
19,Barbados,83,0,7,0,53,0
20,Belarus,21101,0,121,0,5484,0
21,Belgium,52011,0,8521,0,13201,0
22,Belize,18,0,2,0,16,0
23,Benin,242,0,2,0,62,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,7,0,0,0,5,0
26,Bolivia,2266,0,106,0,237,0
27,Bosnia and Herzegovina,2070,0,98,0,960,0
28,Botswana,23,0,1,0,9,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,146894,0,10017,0,59297,0
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,141,0,1,0,132,0
34,Bulgaria,1872,0,86,0,401,0
35,Burkina Faso,744,0,48,0,566,0
36,Burundi,15,0,1,0,7,0
37,Cambodia,122,0,0,0,120,0
38,Cameroon,2267,0,108,0,1002,0
39,Canada,67673,0,4696,0,30239,0
40,Cape Verde,230,0,2,0,44,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,143,0,0,0,10,0
43,Chad,260,0,28,0,50,0
44,Chile,25972,0,294,0,12160,0
45,China,0,0,0,0,0,0
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,10051,0,428,0,2424,0
49,Comoros,8,0,1,0,0,0
50,Congo (Brazzaville),274,0,10,0,33,0
51,Congo (Kinshasa),937,0,39,0,130,0
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,773,0,6,0,461,0
54,Croatia,2161,0,86,0,1689,0
55,Cuba,1741,0,74,0,1078,0
56,Cyprus,891,0,15,0,400,0
57,Czech Republic,8077,0,273,0,4413,0
58,Côte d'Ivoire,1602,0,20,0,754,0
59,Denmark,10218,0,522,0,7927,0
60,Djibouti,1135,0,3,0,824,0
61,Dominica,16,0,0,0,14,0
62,Dominican Republic,9376,0,380,0,2286,0
63,Ecuador,28818,0,1704,0,3433,0
64,Egypt,8476,0,503,0,1945,0
65,El Salvador,742,0,16,0,257,0
66,Equatorial Guinea,439,0,4,0,13,0
67,Eritrea,39,0,0,0,37,0
68,Estonia,1725,0,56,0,704,0
69,Ethiopia,194,0,4,0,95,0
70,Falkland Islands (Malvinas),0,0,0,0,0,0
71,Faroe Islands,0,0,0,0,0,0
72,Fiji,18,0,0,0,14,0
73,Finland,5738,0,260,0,4000,0
74,France,174318,0,26192,0,54770,0
75,French Guiana,0,0,0,0,0,0
76,French Polynesia,0,0,0,0,0,0
77,French Southern Territories,0,0,0,0,0,0
78,Gabon,620,0,8,0,110,0
79,Gambia,20,0,1,0,9,0
80,Georgia,623,0,10,0,288,0
81,Germany,170588,0,7510,0,141700,0
82,Ghana,4012,0,18,0,323,0
83,Gibraltar,0,0,0,0,0,0
84,Greece,2691,0,150,0,1374,0
85,Greenland,0,0,0,0,0,0
86,Grenada,21,0,0,0,13,0
87,Guadeloupe,0,0,0,0,0,0
88,Guam,0,0,0,0,0,0
89,Guatemala,900,0,24,0,101,0
90,Guernsey,0,0,0,0,0,0
91,Guinea,2009,0,11,0,663,0
92,Guinea-Bissau,594,0,2,0,25,0
93,Guyana,94,0,10,0,35,0
94,Haiti,146,0,12,0,17,0
95,Heard and Mcdonald Islands,0,0,0,0,0,0
96,Holy See (Vatican City State),12,0,0,0,2,0
97,Honduras,1771,0,107,0,192,0
98,"Hong Kong, SAR China",0,0,0,0,0,0
99,Hungary,3178,0,392,0,865,0
100,Iceland,1801,0,10,0,1765,0
101,India,59695,0,1985,0,17887,0
102,Indonesia,13112,0,943,0,2494,0
103,"Iran, Islamic Republic of",104691,0,6541,0,83837,0
104,Iraq,2603,0,104,0,1661,0
105,Ireland,22541,0,1429,0,17110,0
106,Isle of Man,0,0,0,0,0,0
107,Israel,16436,0,245,0,11229,0
108,Italy,217185,0,30201,0,99023,0
109,Jamaica,490,0,9,0,62,0
110,Japan,15575,0,590,0,5146,0
111,Jersey,0,0,0,0,0,0
112,Jordan,508,0,9,0,385,0
113,Kazakhstan,4834,0,31,0,1631,0
114,Kenya,621,0,29,0,202,0
115,Kiribati,0,0,0,0,0,0
116,Korea (North),0,0,0,0,0,0
117,Korea (South),10840,0,256,0,9568,0
118,Kuwait,7208,0,47,0,2466,0
119,Kyrgyzstan,906,0,12,0,650,0
120,Lao PDR,19,0,0,0,9,0
121,Latvia,928,0,18,0,464,0
122,Lebanon,796,0,26,0,223,0
123,Lesotho,0,0,0,0,0,0
124,Liberia,199,0,20,0,79,0
125,Libya,64,0,3,0,24,0
126,Liechtenstein,82,0,1,0,55,0
127,Lithuania,1436,0,49,0,765,0
128,Luxembourg,3871,0,100,0,3526,0
129,"Macao, SAR China",0,0,0,0,0,0
130,"Macedonia, Republic of",1586,0,90,0,1099,0
131,Madagascar,193,0,0,0,101,0
132,Malawi,43,0,3,0,14,0
133,Malaysia,6535,0,107,0,4864,0
134,Maldives,744,0,3,0,20,0
135,Mali,668,0,35,0,285,0
136,Malta,489,0,5,0,419,0
137,Marshall Islands,0,0,0,0,0,0
138,Martinique,0,0,0,0,0,0
139,Mauritania,8,0,1,0,6,0
140,Mauritius,332,0,10,0,320,0
141,Mayotte,0,0,0,0,0,0
142,Mexico,31522,0,3160,0,20314,0
143,"Micronesia, Federated States of",0,0,0,0,0,0
144,Moldova,4728,0,150,0,1826,0
145,Monaco,95,0,4,0,82,0
146,Mongolia,42,0,0,0,13,0
147,Montenegro,324,0,8,0,267,0
148,Montserrat,0,0,0,0,0,0
149,Morocco,5711,0,186,0,2324,0
150,Mozambique,82,0,0,0,27,0
151,Myanmar,177,0,6,0,67,0
152,Namibia,16,0,0,0,9,0
