,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,Afghanistan,36710,0,1284,1,25510,1
1,Albania,5519,123,166,5,3018,57
2,Algeria,31465,515,1231,8,21419,431
3,Andorra,925,0,52,0,807,0
4,Angola,1199,35,55,1,461,1
5,Antigua and Barbuda,91,0,3,0,67,0
6,Argentina,201919,5376,3648,52,89026,2527
7,Armenia,39050,209,754,5,29750,193
8,Australia,17938,43,208,0,10426,222
9,Austria,21304,92,718,0,18984,73
10,Azerbaijan,32443,286,462,8,27113,639
11,Bahamas,648,49,14,0,91,0
12,Bahrain,41536,346,147,0,38666,455
13,Bangladesh,240746,886,3154,22,136839,586
14,Barbados,132,10,7,0,98,0
15,Belarus,68067,121,567,4,62896,210
16,Belgium,69849,447,9845,0,17590,17
17,Belize,57,1,2,0,30,0
18,Benin,1805,0,36,0,1036,0
19,Bhutan,102,0,0,0,89,0
20,Bolivia,80153,1360,3153,89,24156,188
21,Bosnia and Herzegovina,12296,420,352,13,6312,353
22,Botswana,804,0,2,0,63,0
23,Brazil,2733677,25800,94104,541,2062876,24894
24,Brunei Darussalam,141,0,3,0,138,0
25,Bulgaria,11955,119,388,3,6420,24
26,Burkina Faso,1143,0,53,0,945,10
27,Burundi,395,0,1,0,304,0
28,Cambodia,240,0,0,0,196,0
29,Cameroon,17255,0,391,0,15320,0
30,Canada,118755,245,8989,4,103201,129
31,Cape Verde,2547,67,24,0,1860,23
32,Central African Republic,4614,0,59,0,1635,0
33,Chad,936,0,75,0,813,0
34,Chile,359731,2073,9608,75,332411,1904
35,China,87985,158,4669,2,81018,111
36,Colombia,317651,11470,10650,320,167239,6531
37,Comoros,386,0,7,0,330,0
38,Congo (Brazzaville),3200,0,54,0,829,0
39,Congo (Kinshasa),9115,31,215,0,7319,289
40,Costa Rica,18975,788,162,8,4585,54
41,Croatia,5260,36,149,4,4373,32
42,Cuba,2646,13,87,0,2369,2
43,Cyprus,1150,26,19,0,856,4
44,Czech Republic,16800,101,384,1,11605,18
45,Côte d'Ivoire,16182,73,102,0,11801,51
46,Denmark,14028,0,615,0,12783,3
47,Djibouti,5161,77,59,1,5019,20
48,Dominica,18,0,0,0,18,0
49,Dominican Republic,72243,828,1178,8,38244,735
50,Ecuador,86232,0,5736,0,36213,0
51,Egypt,94483,167,4865,31,42455,1318
52,El Salvador,17448,398,467,8,8634,139
53,Equatorial Guinea,4821,0,83,0,2182,0
54,Eritrea,279,0,0,0,225,0
55,Estonia,2079,7,69,0,1934,0
56,Ethiopia,18706,707,310,26,7601,406
57,Fiji,27,0,1,0,18,0
58,Finland,7453,10,329,0,6950,0
59,France,225198,0,30268,0,81764,0
60,Gabon,7531,0,50,0,5223,0
61,Gambia,498,0,9,0,68,0
62,Georgia,1177,6,17,0,955,8
63,Germany,211220,215,9154,0,192908,272
64,Ghana,37014,0,182,0,33365,0
65,Greece,4662,75,208,2,1374,0
66,Grenada,24,0,0,0,23,0
67,Guatemala,51306,327,1995,36,38416,543
68,Guinea,7317,9,46,0,6480,22
69,Guinea-Bissau,1981,0,27,0,803,0
70,Guyana,474,44,21,1,185,0
71,Haiti,7468,0,165,0,4606,0
72,Holy See (Vatican City State),12,0,0,0,12,0
73,Honduras,43197,512,1377,9,5794,100
74,Hungary,4535,9,597,0,3389,25
75,Iceland,1907,14,10,0,1825,0
76,India,1803695,52972,38135,771,1186203,40574
77,Indonesia,111455,1519,5236,43,68975,1056
78,"Iran, Islamic Republic of",309437,2685,17190,208,268102,2272
79,Iraq,129151,2447,4868,63,91886,2611
80,Ireland,26162,53,1763,0,23364,0
81,Israel,72815,597,536,10,45677,575
82,Italy,248070,238,35154,8,200460,231
83,Jamaica,894,11,12,2,743,0
84,Japan,39116,1312,1013,1,25748,401
85,Jordan,1213,5,11,0,1099,5
86,Kazakhstan,92662,2295,793,0,62511,1686
87,Kenya,22053,690,369,5,8477,58
88,Korea (South),14389,23,301,0,13280,21
89,Kuwait,67911,463,457,4,59213,688
90,Kyrgyzstan,36719,420,1409,12,27274,855
91,Lao PDR,20,0,0,0,19,0
92,Latvia,1243,5,32,0,1052,0
